Words to Learn

Learned Words

The Rest
la mano;the hand
escuela;school
uno;one
nacer;to be born
posible;possible
aprender;to learn
serie;series
dedicar;to dedicate, devote
necesidad;necessity, need
suponer;to suppose, assume
aceptar;to accept
comprender;to understand
fuerte;strong
especial;special
iglesia;church
seis;six
obtener;to obtain
ciento;hundred
falta;lack, shortage
política;politics, policy
especie;kind, sort, species
real;royal, real, authentic
cuál;which?
antiguo;old, ancient, former
diez;ten
espacio;space, room
publicar;to publish
responder;to answer, respond
población;population
aspecto;aspect, appearance
próximo;next
muchacho;boy
mover;to move, incite
menor;younger, youngest, minor
abogado;lawyer
abuelo;grandfather
accidente;accident
acerca;about
adentro;inside
adónde;where to
afuera;outside
agente;agent
algo;something
alguna;some
alma;soul
alrededor;around
amar;to love
ambos;both
amigos;friends
anoche;last night
años;years
armas;weapons
asesinar;to murder
atención;attention
auto;car
ayer;yesterday
ayudar;to help
banco;bank
baño;bathroom
basta;enough
bebé;baby
caballeros;gentlemen
café;coffee
caja;box
calma;calm
cama;bed
capitán;captain
carne;meat
carrera;career, race
carta;letter
cena;dinner
chica;girl
chicas;girls
chico;boy
club;club
comer;to eat
compañía;company
completamente;completely
conmigo;with me
contigo;with you
control;control
correcto;correct
cualquier;any
cuánto;how much
cuántos;how many
cuarto;room, quarter
cuidar;to take care of
culo;ass
cumpleaños;birthday
daño;damage
daré;i will give
deberíamos;we should
decisión;decision
demasiado;too much
demonios;demons
dentro;inside
derecha;right
detective;detective
detrás;behind
diablo;devil
días;days
dice;says
dicen;they say
diciendo;saying
dijo;said
dio;gave
doctor;doctor
dólares;dollars
dolor;pain
dulce;sweet
duro;hard
edificio;building
ejército;army
enemigo;enemy
enseguida;right away
entiendo;i understand
escúchame;listen to me
esos, esas;those
espada;sword
espera;wait
esposa;wife
esposo;husband
esto, esta;this
estábamos;we were
estamos;we are
estará;will be
estos, estas;these
exactamente;exactly
excelente;excellent
extraño;strange
feliz;happy
fiesta;party
foto;photo
fotos;photos
fue;was
fuego;fire
futuro;future
gracioso;funny
habitación;room
habrá;there will be
hambre;hunger
haré;i will do
hazlo;do it
hemos;we have
hermana;sister
hermosa;beautiful
hija;daughter
hijos;sons
hola;hello
honor;honor
horas;hours
hospital;hospital
hotel;hotel
imposible;impossible
increíble;incredible
infierno;hell
iré;i will go
izquierda;left
jamás;never
jefe;boss
jesús;jesus
juntos;together
jurar;to swear
lamentar;to regret
lejos;far
libertad;freedom
libre;free
línea;line
llamada;call
llave;key
loco;crazy
luna;moon
maldición;curse
manos;hands
marido;husband
matar;to kill
médico;doctor
mensaje;message
mente;mind
mesa;table
meses;months
miedo;fear
mierda;shit
millones;millions
minuto;minute
minutos;minutes
mío;mine
misión;mission
mitad;half
muerto;dead
mujeres;women
murió;died
nave;ship, spacecraft
Navidad;Christmas
necesitar;to need
negocio;business
niños;children
noches;nights
normal;normal
norte;north
noticias;news
novio;boyfriend
odio;hate
oficina;office
oh;oh
oí;i heard
ojos;eyes
oro;gold
otro;other
otros;others
padres;parents
país;country
palabras;words
papá;dad
par;pair
parte;part
pasado;past
paz;peace
pelea;fight
peligro;danger
peligroso;dangerous
pensando;thinking
pensé;i thought
perdón;sorry
perfecto;perfect
permiso;permission
perra;bitch
personal;staff
personas;people
pies;feet
piso;floor
placer;pleasure
plan;plan
podríamos;we could
policía;police
preguntas;questions
probablemente;probably
prometo;i promise
puedo;i can
quedarse;to stay
queremos;we want
querías;you wanted
quiere;wants
quizá;maybe
rápido;fast
regalo;gift
regreso;return
respuesta;answer
resto;rest
rey;king
ropa;clothes
sabemos;we know
sabes;you know
sal;salt
salvar;to save
sargento;sergeant
secreto;secret
segundos;seconds
seguridad;security
semanas;weeks
señorita;miss
serio;serious
el sexo;sex
siete;seven
significa;means
el silencio;silence
siquiera;even, at least
la sorpresa;surprise
el sueño;dream, sleep
la suerte;luck
suficiente;enough
tanto;so much
el teléfono;phone
temer;to fear
tendrás;you will have
tendré;i will have
tendremos;we will have
tengo;i have
tenías;you had
el teniente;lieutenant
terminado;finished
terrible;terrible
el tío;uncle
todo;all
trabajando;working
el traje;suit
el tren;train
tuve;i had
tuyo;yours
vámonos;let's go
las veces;times
veo;i see
verdadero;true
