Words to Learn

Learned Words

The Rest
der, die, das; тот, та, то, те
letzte; последний, крайний
gleich; одинаковый, сразу
solch; такой, подобный
dazu; к тому, для этого
mögen; нравиться, любить
die Frage; вопрос
gar; совсем, вовсе
zeigen; показывать, указывать
führen; вести, руководить
möglich; возможный, вероятный
sprechen; говорить, разговаривать
während; во время, в то время как
das Haus; дом, здание
der Fall; случай, происшествие
eigen; собственный, свой
bringen; приносить, доставлять
die Leute; люди
schön; красивый, прекрасный
einige; некоторые, несколько
bereits; уже, прежде
die Arbeit; работа, труд
leben; жить, существовать
fahren; ехать, ездить
meinen; думать, полагать, иметь в виду
spät, später; поздно, позже
etwa; примерно, около, разве
wer; кто
das Prozent; процент
fragen; спрашивать, задавать вопрос
gerade; прямо, как раз, только что
wichtig; важный, значительный
zwar; хотя, правда
die Hand; рука, кисть
wirklich; действительно, в самом деле
kennen; знать, быть знакомым
weitere; дальнейший, дополнительный
genau; точный, точно
jung; молодой, юный
gelten; действовать, иметь силу
die Stadt; город
der Herr; господин, мужчина
der Teil; часть, доля
das Problem; проблема, задача
die Welt; мир, свет
jedoch; однако, тем не менее
stellen; ставить, помещать
darauf, drauf; на этом, на том
bisschen, bissel; немного, чуть-чуть
vier; четыре
nie; никогда
spielen; играть, исполнять
denen; которым, которых (относительное местоимение)
das Recht; право, закон
arbeiten; работать, трудиться
brauchen; нуждаться, требовать
folgen; следовать, последовать
lernen; учить, учиться
das Ende; конец, окончание
kurz; короткий, краткий
die Million; миллион
stark; сильный, крепкий
die Schule; школа, учебное заведение
die Woche; неделя
bestehen; существовать, состоять, настаивать, сдавать (экзамен)
richtig; правильный, верный
dich; тебя
dafür; за это, для этого
sowie; а также, как только
oft; часто
der Vater; отец
die Seite; сторона, страница
verschieden; различный, разный
halt; просто, же (частица)
das Leben; жизнь, существование
allerdings; однако, правда
verstehen; понимать, постигать
fast; почти, чуть не
wohl; вероятно, пожалуй
dein; твой, твоя, твое
bestimmt; определенный, несомненно
die Mutter; мать
setzen; сажать, ставить, помещать
überhaupt; вообще, совсем
der Grund; причина, основание
besser; лучше, лучший
dir; тебе
schnell; быстрый, скорый
bekommen; получать, приобретать
gern, gerne; охотно, с удовольствием
das Auge; глаз
sicher; уверенный, безопасный
davon; от этого, об этом
beginnen; начинать, приступать
erzählen; рассказывать, повествовать
versuchen; пытаться, пробовать
besonders; особенно, в особенности
das Wort; слово
neben; рядом, возле, кроме
schreiben; писать, записывать
warum; почему
nächste; следующий, ближайший
laufen; бегать, идти
das Geld; деньги
erklären; объяснять, разъяснять
die Sache; вещь, дело
die Art; вид, способ, манера
politisch; политический
entsprechen; соответствовать, отвечать
klar; ясный, понятный
schwer; тяжелый, трудный
der Bereich; область, сфера
allein, alleine; один, одинокий, в одиночестве
kaum; едва, почти не
der Weg; путь, дорога
sitzen; сидеть, заседать
die Stunde; час, урок
einzeln; отдельный, единичный
deshalb; поэтому, потому
deren; чей, которого (родительный падеж)
ziehen; тянуть, переезжать
na; ну (междометие)
beziehungsweise, bzw.; или, соответственно
sogar; даже, более того
der Name; имя, название
damals; тогда, в то время
fünf; пять
die Geschichte; история, рассказ
wegen; из-за, вследствие
die Gesellschaft; общество, компания
scheinen; казаться, светить
darüber, drüber; над этим, об этом
fallen; падать, снижаться
der Kopf; голова
gehören; принадлежать, относиться
entstehen; возникать, образовываться
bekannt; известный, знакомый
erhalten; получать, сохранять
das Paar; пара, чета
leicht; легкий, нетрудный
die Möglichkeit; возможность, вероятность
treffen; встречать, попадать
hinter; за, позади
sonst; иначе, в противном случае
daran, dran; на этом, об этом
das Unternehmen; предприятие, компания
weiter; дальше, далее
suchen; искать, разыскивать
das Bild; картина, изображение
das Buch; книга
legen; класть, положить
das Wasser; вода
die Stelle; место, позиция
vorstellen; представлять, знакомить
die Form; форма, вид
handeln; торговать, действовать
die Mark; марка (денежная единица)
die Entwicklung; развитие, эволюция
der Monat; месяц
erreichen; достигать, добираться
anders; иначе, по-другому
schließlich; в конце концов, наконец
tragen; носить, нести
eher; скорее, раньше
die Familie; семья
der Morgen; утро
je; каждый, когда-либо
der Abend; вечер
zehn; десять
darin, drin, drinnen; в этом, внутри
rund; круглый, около, примерно
die Aufgabe; задание, задача
frei; свободный, бесплатный
die Universität, die Uni; университет
schaffen; создавать, справляться
der Sinn; смысл, чувство
früh; рано, ранний
lesen; читать
der Staat; государство, страна
das Ziel; цель, мишень
gegenüber; напротив, по отношению к
der Freund; друг
das Thema; тема, предмет
unterschiedlich; различный, разный
daher; оттуда, поэтому
die Person; человек, личность
schlecht; плохой, плохо
der Euro; евро
obwohl; хотя, несмотря на
die Nacht; ночь
verlieren; терять, проигрывать
das Ding; вещь, предмет
deutlich; ясный, отчетливый
allgemein; общий, всеобщий
der Raum; комната, пространство
der Blick; взгляд, вид
einzig; единственный
darstellen; изображать, представлять
der Platz; место, площадь
die Zahl; число, цифра
gemeinsam; общий, совместный
nahe, nah; близкий, близко
das System; система
die Uhr; часы, время
dessen; чей, которого
die Eltern; родители
erkennen; узнавать, признавать
entwickeln; развивать, разрабатывать
früher; раньше, прежде
die Straße; улица, дорога
reden; говорить, разговаривать
voll; полный, полностью
aussehen; выглядеть
erscheinen; появляться, казаться
mehrere; несколько, многие
die Minute; минута
zunächst; сначала, прежде всего
die Gruppe; группа
der Wert; ценность, значение
das Gesicht; лицо
irgendwie; как-то, каким-то образом
die Sprache; язык, речь
bilden; образовывать, формировать
dadurch; таким образом, тем самым
direkt; прямой, непосредственно
international; международный
sozial; социальный, общественный
anfangen; начинать, приступать
beste; лучший
bisher; до сих пор, пока
erwarten; ожидать, предполагать
der Anfang; начало
nämlich; а именно, то есть
jene; тот, та, то (указательное местоимение)
wohnen; жить, проживать
rot; красный
offen; открытый, откровенный
der Ort; место, населенный пункт
naja; ну, ладно (междометие)
der Moment; момент, мгновение
betreffen; касаться, затрагивать
meiste; большинство, наибольший
warten; ждать, ожидать
die Folge; следствие, последствие
ab; с, от (предлог)
besondere; особенный, особый
gewiss; определенный, несомненный
das Interesse; интерес
manchmal; иногда, порой
die Milliarde; миллиард
die Rolle; роль, значение
jemand; кто-то, некто
vergehen; проходить, исчезать
öffentlich; общественный, публичный
die Tür; дверь
der Schüler; ученик, школьник
die Bedeutung; значение, смысл
der Text; текст
ach; ах (междометие)
das Ergebnis; результат, итог
helfen; помогать, содействовать
der Krieg; война
sechs; шесть
gewinnen; выигрывать, побеждать
halb; половина, наполовину
schließen; закрывать, заключать
die Weise; способ, образ
die Regierung; правительство
wahrscheinlich; вероятно, вероятный
europäisch; европейский
das Stück; кусок, штука, пьеса
die Wohnung; квартира, жилище
fühlen; чувствовать, ощущать
das Gespräch; разговор, беседа
bieten; предлагать, предоставлять
interessieren; интересовать
wesentlich; существенный, значительный
erinnern; напоминать, вспоминать
der Meter; метр
der Punkt; точка, пункт
die Situation; ситуация, обстановка
ähnlich; похожий, сходный
ergeben; давать, составлять
dagegen; против, напротив
häufig; частый, часто
der Lehrer; учитель, преподаватель
anbieten; предлагать
ebenso; также, равным образом
studieren; учиться, изучать
danach; после этого, затем
der Preis; цена, стоимость, приз
die Abbildung; иллюстрация, изображение
der Begriff; понятие, термин
die Funktion; функция, назначение
verbinden; соединять, связывать
ziemlich; довольно, весьма
ansehen; смотреть, рассматривать
der Boden; пол, земля, почва
fehlen; отсутствовать, не хватать
das Jahrhundert; век, столетие
der Sohn; сын
das Werk; произведение, работа, завод
bedeuten; значить, означать
schwarz; черный
vergleichen; сравнивать, сопоставлять
außerdem; кроме того, помимо этого
inzwischen; между тем, тем временем
sofort; немедленно, тотчас
steigen; подниматься, расти
die Stimme; голос
acht; восемь
plötzlich; внезапно, вдруг
der Rahmen; рамка, рамки
die Richtung; направление
völlig; полностью, совершенно
nutzen; использовать, пользоваться
das Programm; программа
die Angst; страх, боязнь
gering; незначительный, небольшой
die Information; информация
die Kunst; искусство
die Musik; музыка
schauen; смотреть, глядеть
schwierig; трудный, сложный
die Politik; политика
verlassen; покидать, оставлять
manche; некоторые, иные
bald; скоро, вскоре
einsetzen; применять, вставлять
der Beruf; профессия, призвание
praktisch; практический, практичный
ändern; изменять, менять
genug; достаточно, довольно
persönlich; личный, лично
wachsen; расти, вырастать
ausgehen; выходить, исходить
die Regel; правило
der Schritt; шаг
-jährig; -летний (суффикс)
der Absatz; абзац, каблук, сбыт
geschehen; происходить, случаться
der Gott; бог
das Auto; автомобиль, машина
beschreiben; описывать
die Beziehung; отношение, связь
die Erfahrung; опыт
der Tisch; стол
annehmen; принимать, предполагать
endlich; наконец, в конце концов
kriegen; получать, добывать
die Zukunft; будущее
planen; планировать
das Spiel; игра
wirken; действовать, влиять
das Gefühl; чувство, ощущение
das Licht; свет
modern; современный
der Präsident; президент
tief; глубокий, глубоко
bezeichnen; обозначать, называть
der Markt; рынок
die Bank; банк, скамейка
innerhalb; внутри, в пределах
insbesondere; в особенности, особенно
die Partei; партия
tatsächlich; действительно, фактически
die Tochter; дочь
sich befinden; находиться
passieren; происходить, случаться
das Verhältnis; отношение, соотношение
zusätzlich; дополнительный, дополнительно
die Kirche; церковь
aufgrund; на основании, из-за
hin; туда, к
amerikanisch; американский
ebenfalls; также, тоже
der Film; фильм, пленка
nachdem; после того как
rufen; звать, кричать
wirtschaftlich; экономический, хозяйственный
aufnehmen; принимать, записывать
der Gedanke; мысль, идея
gestern; вчера
interessant; интересный
zunehmen; увеличиваться, прибавлять
bestimmen; определять, назначать
der Doktor; доктор, врач
fordern; требовать, призывать
gefallen; нравиться
das Mädchen; девочка, девушка
öffnen; открывать
schlagen; бить, ударять
trotz; несмотря на, вопреки
bevor; прежде чем, до того как
die Entscheidung; решение
der Prozess; процесс
relativ; относительный, относительно
treten; ступать, вступать
der Betrieb; предприятие, производство
bitte; пожалуйста
gleichzeitig; одновременный, одновременно
übernehmen; перенимать, брать на себя
verändern; изменять, менять
der Zusammenhang; связь, контекст
das Gesetz; закон
zusammen; вместе, совместно
der Arm; рука (от плеча до кисти)
die Firma; фирма, компания
grün; зеленый
jedenfalls; во всяком случае, во всяком случае
die Kraft; сила, мощь
lachen; смеяться
der September; сентябрь
der Student; студент
verwenden; использовать, применять
weiß; белый
wählen; выбирать, избирать
das Zuhause; дом, жилище
die Chance; шанс, возможность
wobei; причем, при этом
erfolgen; происходить, осуществляться
gesamt; весь, целый, общий
sieben; семь
speziell; специальный, особый
die Zeitung; газета
bloß; только, лишь
enthalten; содержать, сдерживать
betrachten; рассматривать, созерцать
entscheiden; решать, принимать решение
der Erfolg; успех, удача
gelingen; удаваться, получаться
die Grenze; граница, предел
jeweils; соответственно, в каждом случае
kaufen; покупать
der Satz; предложение, фраза, набор
wann; когда
das Angebot; предложение, оферта
darum; поэтому, вокруг этого
entscheidend; решающий, определяющий
erfahren; узнавать, испытывать
das Internet; интернет
pro; за, в пользу
unten; внизу, снизу
eng; узкий, тесный
insgesamt; в целом, всего
die Kultur; культура
technisch; технический
vergessen; забывать
die Lage; положение, ситуация
die Leistung; достижение, производительность
das Mitglied; член, участник
stattfinden; происходить, иметь место
vorher; раньше, прежде
beispielsweise; например
bewegen; двигать, побуждать
feststellen; устанавливать, констатировать
langsam; медленный, медленно
das Projekt; проект
verschwinden; исчезать
dienen; служить
trinken; пить
das Zimmer; комната
der Chef; начальник, шеф
meist; большей частью, чаще всего
ständig; постоянный, постоянно
der Zug; поезд, черта
der Arzt; врач
auftreten; выступать, появляться
der Fuß; нога (ступня), подножие
der Körper; тело, корпус
notwendig; необходимый
die Klasse; класс, разряд
die Lösung; решение, раствор
rein; чистый, исключительно
sowohl; как ... так и
stimmen; соответствовать, голосовать
trotzdem; несмотря на это, все же
sich verhalten; вести себя, относиться
zudem; к тому же, кроме того
berichten; сообщать, докладывать
englisch; английский
die Höhe; высота, уровень
der Junge; мальчик, парень
rechnen; считать, рассчитывать
wissenschaftlich; научный
beobachten; наблюдать
das Fenster; окно
die Luft; воздух
die Meinung; мнение, взгляд
erleben; переживать, испытывать
falsch; неправильный, ложный
fremd; чужой, иностранный
holen; приносить, доставать
die Idee; идея, мысль
leider; к сожалению
das Produkt; продукт, изделие
französisch; французский
mindestens; по меньшей мере, минимум
selten; редкий, редко
das Studium; учеба, изучение
der Vergleich; сравнение
das Mittel; средство, способ
das Modell; модель, образец
normal; нормальный, обычный
zumindest; по крайней мере
die Natur; природа
das Bett; кровать, постель
essen; есть, кушать
der Kunde; клиент, покупатель
der Mitarbeiter; сотрудник
reichen; хватать, подавать
sterben; умирать
der Tod; смерть
unterscheiden; различать, отличать
Вот улучшенный вариант с добавленными определенными артиклями и исправленными или расширенными переводами, где это необходимо:
die Wahrheit; правда
das Geschäft; бизнес, магазин
leisten; выполнять, позволить себе
privat; частный, личный
der Spaß; веселье, удовольствие
tot; мертвый
die Wirtschaft; экономика
irgendwo; где-то, где-нибудь
das Tier; животное
verlangen; требовать, запрашивать
werfen; бросать, кидать
die Bewegung; движение
fest; твердый, прочный
der Gast; гость
die Sicherheit; безопасность
der Einsatz; использование, применение
das Gebiet; область, территория
vorliegen; присутствовать, иметься в наличии
zählen; считать, подсчитывать
der Dank; благодарность
das Dorf; деревня, село
der Kollege; коллега
wünschen; желать, хотеть
die Angabe; указание, сведение
bauen; строить, сооружать
der Bruder; брат
hängen; висеть, вешать
hoffen; надеяться
positiv; позитивный, положительный
außer; кроме, за исключением
sich freuen; радоваться
teilen; делить, разделять
die Verfügung; распоряжение, постановление
bezahlen; платить, оплачивать
dauern; длиться, продолжаться
euch; вас, вам (мн. ч.)
das Fach; предмет, специальность
das Herz; сердце
der Kontakt; контакт, связь
die Menge; количество, толпа
stecken; находиться, застрять
besuchen; посещать, навещать
der Sommer; лето
der Unterschied; различие, разница
zentral; центральный, главный
der Anspruch; право, притязание
die Antwort; ответ
bitten; просить, молить
sorgen; заботиться, беспокоиться
statt; вместо
die Verbindung; связь, соединение
die Vorstellung; представление, идея, воображение
ankommen; прибывать, приезжать
die Anwendung; применение, использование
beziehen; относиться, получать, ссылаться
fertig; готовый, законченный
spüren; чувствовать, ощущать
weder; ни (используется с "noch")
das Alter; возраст
grundsätzlich; принципиально, в основном
die Kosten; стоимость, расходы, издержки
der Patient; пациент
die Polizei; полиция
das Theater; театр
zuerst; сначала, прежде всего
die Ausbildung; обучение, подготовка, образование
breit; широкий, обширный
erhöhen; повышать, увеличивать
hart; тяжелый, жесткий, суровый
vorhanden; доступный, существующий, имеющийся
die Gefahr; опасность, угроза
das Gerät; прибор, устройство, аппарат
innere; внутренний
der Kilometer; километр
unbedingt; абсолютно, непременно
die Hilfe; помощь, содействие
melden; сообщать, заявлять
der Computer; компьютер
der Dollar; доллар
hinaus; вне, за пределами, наружу
künftig; будущий, предстоящий
das Verfahren; метод, процесс, процедура
der Vertrag; контракт, договор
vorkommen; происходить, случаться
zuletzt; в конце, напоследок
aha; ага, вот оно что
besitzen; владеть, обладать
betonen; подчеркивать, акцентировать
dennoch; тем не менее, все же
erfüllen; выполнять, исполнять
historisch; исторический
knapp; скудный, едва, кратко
lieber; лучше, охотнее
die Maßnahme; мера, мероприятие
die Mitte; середина, центр
der Oktober; октябрь
die Ordnung; порядок, устройство
sodass; так что, таким образом
der Stoff; материал, вещество, ткань
zugleich; одновременно, в то же время
der Beginn; начало
das Glück; счастье, удача
das Wochenende; выходные
der Professor; профессор
die Reihe; ряд, серия
der Westen; запад
beteiligen; участвовать, привлекать
die Bevölkerung; население
indem; посредством, тем что
das Institut; институт
merken; замечать, запоминать
nochmal; снова, еще раз
der Osten; восток
passen; подходить, соответствовать
die Schwester; сестра
aktuell; актуальный, текущий
danke; спасибо
derzeit; в настоящее время, сейчас
sich eignen; подходить, годиться
die Erde; земля, почва
richten; направлять, устремлять
umfassen; включать, охватывать
die Ebene; уровень, плоскость
irgendetwas; что-то, что-нибудь
die Reise; поездка, путешествие
schlafen; спать
übrig; оставшийся, остальной
unterstützen; поддерживать, помогать
zuvor; ранее, прежде
die Einheit; единство, единица
das Haar; волосы
lächeln; улыбаться
der Montag; понедельник
die Nähe; близость, vicinity
das Prinzip; принцип
schlimm; плохой, ужасный
teilweise; частично, отчасти
der Vorteil; преимущество, выгода
beschäftigen; заниматься, занимать
daraus; из этого, отсюда
lösen; решать, разрешать
die Struktur; структура
antworten; отвечать
der Autor; автор
die Bedingung; условие
lieb; милый, дорогой
miteinander; вместе, друг с другом
das Risiko; риск
trennen; разделять, отделять
die Wahl; выбор, выборы
die Wirkung; воздействие, эффект
der Brief; письмо
einstellen; настроить, прекратить, нанимать
die Größe; размер, величина
lieben; любить
die Medien; средства массовой информации
der Sonntag; воскресенье
dunkel; темный
durchaus; абсолютно, вполне
durchführen; проводить, осуществлять
genügen; достаточно, хватать
laut; согласно, по, громкий
die Macht; власть, сила
meistens; в основном, большей частью
offenbar; очевидно, явно
rechte; правый
die Untersuchung; исследование, обследование
die Veränderung; изменение
aufbauen; строить, создавать
bestätigen; подтверждать, удостоверять
die Daten; данные, информация
deswegen; поэтому, по этой причине
der Einfluss; влияние
die Methode; метод, способ
die Organisation; организация
überall; везде, повсюду
untersuchen; исследовать, изучать
zahlreich; многочисленный
andererseits; с другой стороны
erfolgreich; успешный
konkret; конкретный
die Liebe; любовь
die Rede; речь, выступление
der Sport; спорт
verkaufen; продавать
weltweit; всемирный, глобальный
der Augenblick; момент, мгновение
blicken; смотреть, глядеть
die Diskussion; обсуждение, дискуссия
drücken; нажимать, давить
eingehen; заниматься, обсуждать, входить
erlauben; разрешать, позволять
die Forderung; требование
geboren; рожденный
der Kreis; круг, округ
menschlich; человеческий
regelmäßig; регулярный, систематический
die Technik; техника, технология
der Versuch; попытка, эксперимент, опыт
aktiv; активный, деятельный
ausreichen; быть достаточным, хватать
schweigen; молчать
behandeln; обрабатывать, лечить, обращаться
die Krankheit; болезнь, заболевание
die Schwierigkeit; трудность, сложность
staatlich; государственный
die Tätigkeit; деятельность, занятие
treiben; продвигать, заниматься, гнать
überzeugen; убеждать, уверять
die Voraussetzung; условие, предпосылка
benutzen; использовать, применять
drohen; угрожать, грозить
ehemalig; бывший, прежний
kalt; холодный
der Kampf; борьба, бой
der Künstler; художник, артист
längst; давно, уже давно
die Region; регион, область
stets; всегда, постоянно
versprechen; обещать
zwölf; двенадцать
der Eindruck; впечатление
entdecken; обнаруживать, открывать
jeweilig; соответствующий, каждый
klingen; звучать, звенеть
reagieren; реагировать
die Reaktion; реакция
der Beitrag; взнос, вклад, статья
darunter; под этим, среди них
erforderlich; необходимый, требуемый
heutig; сегодняшний, нынешний
das Konzept; концепция, план
kosten; стоить
kulturell; культурный
lediglich; только, лишь
die Linie; линия
der Mund; рот
Schweizer; швейцарский
unabhängig; независимый, самостоятельный
verdienen; зарабатывать, заслуживать
der Wunsch; желание
der Artikel; статья, товар
drehen; поворачивать, вращать
ruhig; тихий, спокойный
somit; следовательно, таким образом
unmittelbar; непосредственный, прямой
bewusst; сознательный, осознанный
finanziell; финансовый
der Gegensatz; противоположность, контраст
das Kapitel; глава, раздел
klassisch; классический
die Literatur; литература
der Rücken; спина
weiterhin; по-прежнему, дальше
die Zelle; клетка, ячейка
die Aussage; заявление, высказывание
Berliner; берлинский
der Bürger; гражданин
heiß; горячий, жаркий
der Himmel; небо
immerhin; все-таки, по крайней мере
der Inhalt; содержание, содержимое
überraschen; удивлять, поражать
die Wand; стена
betreiben; управлять, заниматься, вести
die Bibliothek; библиотека
echt; настоящий, подлинный
die Farbe; цвет, краска
fliegen; летать
heben; поднимать, повышать
der/die Jugendliche; подросток
das Maß; мера, степень
neun; девять
stoßen; толкать, ударять
teuer; дорогой
vertreten; представлять, замещать
der Ansatz; подход, начало
der Aspekt; аспект
das Bein; нога (от бедра до стопы)
die Erinnerung; воспоминание, память
ermöglichen; позволять, делать возможным
genauso; так же, точно так же
herstellen; производить, изготавливать
hundert; сто
irgendein; какой-то, какой-нибудь
die Kenntnis; знание, осведомленность
der Kurs; курс, направление
leiden; страдать, терпеть
das Papier; бумага
schicken; отправлять, посылать
die Sekunde; секунда
die Sonne; солнце
der Umstand; обстоятельство, условие
vorne; впереди, спереди
wechseln; менять, изменять
weg; прочь, долой
die Wissenschaft; наука
der Garten; сад
die Küche; кухня
liefern; доставлять, поставлять
nötig; необходимый, нужный
toll; замечательный, потрясающий
die Wirklichkeit; реальность, действительность
zahlen; платить, оплачивать
benötigen; требоваться, нуждаться
der Druck; давление, печать
das Essen; еда, пища
die Grundlage; основа, фундамент
stammen; происходить, быть родом
verhindern; предотвращать, препятствовать
zurzeit; в настоящее время, сейчас
der Zustand; состояние, положение
abschließen; завершать, заканчивать
erneut; снова, вновь
die Hälfte; половина
das Meer; море
reisen; путешествовать, ездить
singen; петь
überlegen; размышлять, обдумывать
wenigstens; по крайней мере, хотя бы
der Dienst; служба, сервис
erwähnen; упоминать, ссылаться
der Gegenstand; предмет, объект
greifen; хватать, брать
mittlerweile; тем временем, между тем
der Plan; план
täglich; ежедневный, каждодневный
üblich; обычный, привычный
verzichten; отказываться, воздерживаться
der Zeitpunkt; момент, время
zirka; приблизительно, около
absolut; абсолютный, полный
aufgeben; отказываться, сдаваться
der Auftrag; задание, поручение
der Baum; дерево
betragen; составлять, равняться
entweder; либо, или
die Freude; радость, удовольствие
die Gemeinde; община, сообщество
gesellschaftlich; общественный, социальный
der Hinweis; указание, совет
individuell; индивидуальный, личный
irgendwelche; какие-то, какие-нибудь
kochen; готовить, варить
leer; пустой
national; национальный
das Netz; сеть
der November; ноябрь
die Position; позиция, положение
der Schluss; конец, заключение
ungefähr; приблизительно, около
wiederum; снова, опять
angeben; указывать, заявлять
begründen; обосновывать, мотивировать
blau; синий, голубой
die Bundesrepublik; Федеративная Республика
einrichten; оборудовать, устраивать
festhalten; удерживать, фиксировать
die Forschung; исследование
geraten; попасть, оказаться
das Glas; стакан, стекло
die Haut; кожа
die Praxis; практика, опыт
rasch; быстрый, стремительный
sicherlich; конечно, несомненно
soweit; насколько, поскольку
verfügen; распоряжаться, иметь в распоряжении
der Wald; лес
zwanzig; двадцать
der Ausdruck; выражение, термин
der Dienstag; вторник
draußen; снаружи, на улице
der Finger; палец
die Freundin; подруга, girlfriend
der Roman; роман
russisch; русский
schützen; защищать, охранять
die Sicht; вид, точка зрения
die Theorie; теория
die Umwelt; окружающая среда
vielmehr; скорее, более того
vorbereiten; подготовить, готовить
wiederholen; повторить, повторять
der Haushalt; домохозяйство, бюджет
der Hund; собака
die Maschine; машина, механизм
die Nummer; номер
der Politiker; политик
stören; мешать, беспокоить
das Team; команда
der Titel; заголовок, титул
verantwortlich; ответственный
der Verein; ассоциация, клуб
zuständig; компетентный, ответственный
bislang; до сих пор, до настоящего времени
erheblich; значительный, существенный
ernst; серьезный, важный
feiern; праздновать, отмечать
das Fernsehen; телевидение
irgendwann; когда-нибудь, в какой-то момент
okay; хорошо, окей
die Schulter; плечо
die Unterstützung; поддержка, помощь
vermitteln; организовать, посредничать
das Zeichen; знак, символ
berücksichtigen; учитывать, принимать во внимание
das Material; материал
die Produktion; производство
der Rest; остаток, остальное
die Ruhe; тишина, покой, спокойствие
der Schaden; ущерб, вред
der Soldat; солдат
die Sorge; беспокойство, забота
die Tatsache; факт
typisch; типичный, характерный
die Umgebung; окрестности, окружение
das Volk; народ
der Wagen; автомобиль, карета, вагон
der Wind; ветер
der Zweck; цель, назначение
der Angriff; атака, нападение
der Antrag; заявление, предложение
ausschließen; исключать, исключить
diskutieren; обсуждать, дискутировать
funktionieren; работать, функционировать
der Grad; градус, степень
gründen; основывать, учреждать
herrschen; править, господствовать
der Job; работа
der Mittwoch; среда
die Öffentlichkeit; общественность, публика
schieben; толкать, двигать
der Schutz; защита, охрана
übrigens; кстати, между прочим
zufrieden; довольный, удовлетворенный
der Anteil; доля, часть
behaupten; утверждать, заявлять
die Beschäftigten; работники, сотрудники
der Besuch; визит, посещение
die Energie; энергия
erheben; взимать, поднимать
die Erklärung; объяснение, заявление
der Gang; коридор, проход, ход
krank; больной
der Lauf; ход, бег
der Unterricht; обучение, урок
verfolgen; преследовать, следить
warm; теплый
das Zentrum; центр
zurückkommen; возвращаться
zwingen; заставлять, принуждать
ablehnen; отказывать, отвергать
das Amt; должность, ведомство
der Anschlag; атака, покушение
anwenden; применять, использовать
auftauchen; появляться, всплывать
das Ausland; заграница, иностранные государства
