Words to Learn

Learned Words

The Rest
unsquared;не квадратный
sward;газон, дерн, луговина
admiringly;восхищенно, с восхищением
forefoot;форштевень (передняя часть киля), передняя лапа
afterdeck;ют, кормовая палуба, квартердек
doorpost;дверной косяк, дверной столб
plentifully;обильно, в изобилии
passably;приемлемо, сносно
miscellany;смесь, сборник, собрание
append;добавить, приложить, присоединить
manufactory;фабрика, завод, мануфактура
placidly;мирно, спокойно, безмятежно
steersman;кормчий, рулевой
destine;предназначить, предопределять
lipping;выступающий край, захлестывание волн, окаймление
alow;внизу, в нижней части (морской термин)
halfheartedly;без энтузиазма, нерешительно
mell;вмешиваться, ввязываться, общаться
airily;легко, воздушно, беззаботно
effectual;действенный, эффективный
athwart;поперек, наперекор, поперёк судна
seadog;морской волк, опытный моряк, тюлень
slyness;хитрость, лукавство
foolhardiness;безрассудство, безрассудная смелость
straggle;разбрести, отставать, тянуться вереницей
craftily;хитро, искусно
protestation;протест, заверение
girt;окруженный, опоясанный, обхват
quadrilateral;четырехугольник, четырехсторонний, четырехсторонняя фигура
contortion;искривление, извращение, искажение
oilskin;прорезиненная ткань, непромокаемая одежда, клеенка
abeam;на траверзе, сбоку (морской термин)
puncheon;большая бочка, пуансон, короткий брус
unfitness;непригодность, неподготовленность, неприспособленность
quire;стопка бумаги, тетрадь
cession;уступка, передача прав, отказ от территории
goodish;довольно хороший, порядочный, изрядный
hailstone;градина, град
oilcloth;клеенка, промасленная ткань
bareheaded;без шляпы, с непокрытой головой
bewilder;сбивать с толку, озадачивать, ставить в тупик
lugger;люгер (небольшое парусное судно)
moneybag;кошелек, денежный мешок, богач
tyrannize;тиранить, деспотически править, угнетать
redden;краснеть, румяниться
cannonade;канонада, артиллерийский обстрел, обстреливать
cheerily;весело, бодро
admixture;примесь, смешение, добавка
seaway;морской путь, волнение на море, рейд
deadeye;юферс (блок без шкива), мертвый глаз
splutter;брызгать слюной, говорить быстро и бессвязно, шипеть
incivility;невежливость, грубость, неучтивость
mizzenmast;бизань-мачта (третья мачта на корабле)
niggardly;скупо, скаредно, убого
giddily;головокружительно, легкомысленно, беспечно
leafless;безлистный, оголенный
bowsprit;бушприт (наклонная мачта в носовой части судна)
avow;признавать, открыто заявлять, исповедовать
bowstring;тетива лука, струна, гарротта
hawser;швартовый трос, толстый канат, буксир
noiseless;бесшумный, тихий
haft;рукоятка, эфес, черенок
thundercloud;грозовая туча, громовая туча
assize;судебное заседание, ассизы, размер
grizzle;седеть, становиться серым, хныкать
undulate;волнообразно двигаться, колебаться, волноваться
contemptuously;презрительно, пренебрежительно
fainthearted;малодушный, трусливый
sharer;делитель, участник, соучастник
burnish;полировать, шлифовать, блестеть
prodigiously;чрезвычайно, удивительно
paleness;бледность, блеклость, бесцветность
reassuringly;успокаивающе, обнадеживающе, ободряюще
perplexity;недоумение, замешательство, растерянность
coarsely;грубо, неотесанно
vehemence;страстность, горячность, сила
snorer;храпун, человек, который храпит
tremulous;дрожащий, трепетный, неуверенный
threateningly;угрожающе, грозно
mainmast;грот-мачта (главная мачта корабля)
tragical;трагический, печальный, трагичный
connive;потворствовать, закрывать глаза на что-либо, тайно способствовать
lubber;неуклюжий человек, сухопутная крыса, увалень
palisade;частокол, палисад, изгородь из кольев
foremast;фок-мачта (передняя мачта корабля)
howsoever;как бы ни, каким бы образом ни, насколько бы ни
thimbleful;наперсток (малое количество жидкости), капля
dillydally;медлить, тянуть время, бездельничать
reverberation;отражение звука, эхо, отголосок
doit;мелкая монета, грош, ничтожная сумма
contort;искажать, извращать, искривлять
qualm;угрызение совести, сомнение, приступ тошноты
leadin;вводный, вступительный, вводная часть
irreverence;неуважение, непочтительность, кощунство
keelhaul;протаскивать под килем, сурово наказывать
capstan;шпиль, кабестан (механизм для подъема якоря)
mayhap;возможно, может быть (устаревшее)
hornpipe;хорнпайп (матросский танец), волынка
stiffly;жестко, чопорно, натянуто
babby;младенец (диалектное, детское)
faintness;слабость, головокружение, нечеткость
acquiescence;молчаливое согласие, уступчивость, покорность
repugnance;отвращение, антипатия, несовместимость
ure;употребление, обычай (устаревшее), приучать
warily;осторожно, бдительно, настороженно
totter;шататься, колебаться, идти неверной походкой
obstinately;упрямо, упорно
subaltern;младший офицер, подчиненный, подчиненный офицер
outstrip;опережать, превосходить, обгонять
recommence;возобновлять, начинать снова, возобновляться
gabble;болтать быстро и невнятно, тараторить
seaward;в сторону моря, мористее, морской
slunk;прокрался, проскользнул (от slink), трусливо убежал
shrewdness;проницательность, хитрость, сообразительность
mutineer;мятежник, бунтовщик, участник мятежа
derisively;насмешливо, издевательски, презрительно
carouse;кутить, пировать, веселиться
careen;крениться, килевать (судно), мчаться
goatskin;козья шкура, бурдюк, мех для вина
redcap;носильщик (в красной фуражке), солдат военной полиции
thousandfold;тысячекратно, в тысячу раз, тысячекратный
ague;лихорадка, озноб, малярия
forelock;чуб, локон на лбу, чека
swelter;изнывать от жары, париться, томиться
unconquered;непокоренный, непобежденный, несломленный
dogger;рыболовное судно для ловли трески, голландское рыболовное судно
luff;приводить к ветру, увалить, наветренная сторона паруса
eatable;съедобный, годный в пищу, съестное
arrant;отъявленный, законченный
variously;по-разному, различно
languor;вялость, апатия
welter;беспорядок, хаос
inexpressible;невыразимый, несказанный
surmount;преодолеть, превзойти
ungainly;неуклюжий, нескладный
roundly;решительно, резко
billow;большая волна, вздыматься
wearisome;утомительный, надоедливый
rebuff;резкий отказ, отпор
inboard;внутри борта, в корпусе судна
doggedly;упорно, настойчиво
rapidity;быстрота, стремительность
foresail;фок (парус на передней мачте)
purposeless;бесцельный, бессмысленный
cutwater;водорез (часть форштевня)
bigness;величина, размер
foolery;глупость, дурачество
forecastle;бак (носовая часть палубы)
grudgingly;неохотно, с неудовольствием
reawaken;пробуждать вновь, возрождать
snuffbox;табакерка, нюхательная коробка
accustom;приучать, привыкать
phosphorescent;фосфоресцирующий, светящийся
longish;длинноватый, довольно длинный
apoplectic;апоплексический, склонный к апоплексии
nearness;близость, сходство
morass;болото, трясина
retold;пересказанный, рассказанный заново
singly;поодиночке, по отдельности
sheepishly;застенчиво, робко
thickly;густо, плотно
feebly;слабо, немощно
subsist;существовать, жить
footfall;звук шагов, поступь
scupper;шпигат (отверстие для стока воды)
explanatory;пояснительный, объяснительный
brier;шиповник, колючий кустарник
halloo;окрик, оклик
anywheres;где угодно (неправильно, разговорное)
revengeful;мстительный, жаждущий мести
thereupon;вслед за этим, после этого
islet;островок, малый остров
monstrously;чудовищно, ужасно
gibbet;виселица, казнить через повешение
chine;хребет, спинная часть
sunshiny;солнечный, яркий
halyard;фал (снасть для подъема парусов)
mizzen;бизань (кормовая мачта)
pickax;кирка, мотыга
sinewy;жилистый, мускулистый
furtively;украдкой, тайком
eyeless;безглазый, слепой
whiten;белить, отбеливать
leeward;подветренный, в подветренную сторону
clamber;карабкаться, взбираться
fastening;крепление, застежка
noonday;полдень, полуденный
calumny;клевета, ложное обвинение
slacken;ослаблять, замедлять
unheeded;незамеченный, оставленный без внимания
reedy;тростниковый, изобилующий тростником
horrify;ужасать, приводить в ужас
amidships;посредине корабля, на миделе
torchlight;свет факела, освещение факелами
unmanly;немужественный, недостойный мужчины
sequin;блестка, пайетка
preen;прихорашиваться, чистить перья
landsman;сухопутный человек, новичок на море
gaskin;гаскойн (часть ноги лошади)
overhang;нависать, выступать
greedily;жадно, алчно
hurtle;мчаться, нестись
waterline;ватерлиния, уровень воды
reverently;почтительно, благоговейно
preponderance;преобладание, перевес
sodden;промокший, пропитанный водой
slyly;хитро, лукаво
smit;пораженный, очарованный (устаревшее от smite)
supplication;мольба, просьба
promontory;мыс, выступ
leastways;по крайней мере (разговорное)
sparsely;редко, скудно
gruffly;грубо, резко
bulwark;бульварк (верхняя часть борта судна), оплот
uppermost;самый верхний, главнейший
redouble;удваивать, усиливать
easterly;восточный, с востока
leaden;свинцовый, тяжелый
hearken;прислушиваться, внимать (устаревшее)
ironical;иронический, насмешливый
gammon;окорок, обман
larboard;левый борт (устаревшее)
purchaser;покупатель, приобретатель
deform;деформировать, уродовать
coinage;чеканка монет, новое слово
rigger;такелажник, монтажник
crag;скала, утес
unobserved;незамеченный, скрытый
conical;конический, конусообразный
incongruous;несоответствующий, неуместный
ashen;пепельный, мертвенно-бледный
briskly;бодро, энергично
thumbnail;миниатюра, эскиз
apoplexy;апоплексия, паралич
topsail;марсель (парус над нижним парусом)
mainstay;основная опора, главная поддержка
nohow;никоим образом, никак (разговорное)
marshy;болотистый, топкий
modulate;модулировать
doubloon;дублон
tallow;сало
wretchedness;несчастье
unburied;незахороненный
devoutly;благочестиво
postscript;послесловие
reappearance;повторное появление
prettily;мило
forbear;воздерживаться
doldrums;штиль
tiptop;верхушка
thunderstruck;ошеломленный
solemnity;торжественность
obsequious;подобострастный
quoth;сказал
pigtail;косичка
peculiarly;особенно
landlocked;внутренний
speedily;быстро
wrest;вырывать
hotly;горячо
dwindle;уменьшаться
signboard;вывеска
sternly;строго
firelight;свет огня
serviceable;пригодный к использованию
yardarm;рея
wot;знает
trundle;катить
lancet;ланцет
skulk;скрываться
umber;умбра
craggy;скалистый
trice;мгновение
thatch;соломенная крыша
downhearted;удрученный
coxswain;кокс
rheumatic;ревматичный
cliffy;скалистый
southward;на юг
resolutely;решительно
envelop;обертывать
spyglass;подзорная труба
ingratiate;внушать симпатию
smote;поразил
fieldwork;полевые работы
contrive;изобретать
cloudless;безоблачный
fainter;слабее
bramble;ежевика
tarpaulin;брезент
dimly;тускло
glisten;блестеть
derision;насмешка
shipmate;корабельный товарищ
disbelieve;не верить
tonnage;тоннаж
reparation;возмещение
amuck;амок
grandly;величественно
sojourn;пребывание
desirous;желающий
neatness;аккуратность
lowland;низина
unmoved;невозмутимый
personage;персона
horseplay;шалости
bungle;недоработка
broadside;залп
duplicity;двуличие
boozy;пьяный
obediently;послушно
writhe;извиваться
windward;подветренный
steerage;трюм
ruination;разрушение
deplore;осуждать
capsize;перевернуться
seaworthy;мореходный
mainsail;грот
treetop;верхушка дерева
yaw;уклонение
paler;бледнее
headpiece;головной убор
laborious;трудоемкий
computation;расчет
rammer;трамбовка
leant;опирался
bungling;неуклюжий
toon;тик (дерево)
plod;тяжело шагать
mightily;мощно
displace;вытеснить
nondescript;неописуемый
amass;накапливать
avast;стоп
forefinger;указательный палец
retort;возражение
hotheaded;вспыльчивый
buccaneer;корсар
stirrup;стремя
hoarsely;хрипло
eastward;на восток
roundhouse;круглый дом
condescend;снисходить
gladness;радость
feint;финт
azalea;азалия
lanyard;шнурок
strode;шагнул
earshot;слышимость
buoyant;плавучий, жизнерадостный
northward;на север
coolly;хладнокровно
breathlessly;запыхавшись
quicken;ускорить
peal;перезвон
desperado;отчаянный
spurn;отвергать
sundry;разнообразный
squall;шквал
wisp;клок
indomitable;неукротимый
droop;увядать
scull;весло
piped;пропищал
extricate;освободить
seafaring;мореплавание
whereupon;после чего
deary;дорогой, милый
blacken;чернеть
gilt;золоченый
outboard;внешний
hawker;торговец
sicken;болеть
miscreant;негодяй
repulse;отражение (атаки)
hobble;прихрамывать
sprawl;раскидываться
skylark;жаворонок
rove;странствовать
dislodge;вытеснить
absurdly;абсурдно
leer;коситься
dereliction;заброшенность
sunbeam;солнечный луч, луч солнца
enclose;огородить
slung;подвешенный
captor;пленитель
ornamental;декоративный
studious;усердный
annoyingly;раздражающе
drench;промокнуть
dram;глоток
whisker;ус
unearthly;неземной, сверхъестественный
detestable;отвратительный
genteel;вежливый
tint;оттенок
weariness;усталость
plumage;оперение
conspirator;заговорщик
thither;туда
aperture;отверстие
shrub;кустарник
moonbeam;лунный луч
scowl;нахмуриться
densely;плотно
thicket;заросли
shirk;уклоняться
vise;тиски
skiff;лодка
congregate;собираться
nettle;крапива
spire;шпиль
impatiently;нетерпеливо
flit;порхать
homeward;домой
rout;разгром
fairway;фарватер, игровое поле (в гольфе)
visibly;видимо
agitate;волновать
tarry;медлить
clove;гвоздика (пряность), долька (чеснока)
patchwork;лоскутное одеяло
stave;дощечка, строфа (в стихах)
shipshape;аккуратный
flighty;легкомысленный
southwestern;юго-западный
legged;ногастый
narrower;уже
estuary;устье
smartly;быстро
tenfold;в десять раз
unsteady;неустойчивый
eagerness;рвение
mechanically;механически
equip;оснащать
dexterity;ловкость
boatswain;боцман
farthing;фартинг
grapple;борьба
mutilate;увечье
missis;миссис
bygone;прошлый
beheld;увидел
thence;оттуда
slough;трясина, болото, сбрасывать (кожу)
innumerable;бесчисленный
insubordinate;неподчиненный
incline;склон
staunch;верный
cutlass;сабля
lopsided;косой
idleness;безделье
hitherto;до сих пор
swampy;болотистый
wooded;лесистый
blacker;чернее
millstone;жернов
cockerel;петушок, молодой петух
figurehead;фигурная голова
afire;в огне
glint;вспышка
headlong;напролом
earnestly;серьезно
astonishment;изумление
escapade;выходка
inlet;залив
bolus;пилюля
catechism;катехизис
bloodstained;кровавый
weevil;долгоносик
unintentional;непреднамеренный
keenly;остро
cask;бочка
diagonal;диагональный
rekindle;возобновить
scuttle;люк
dingle;долина
bellow;рев
shoal;мель
cleverness;сообразительность
boarder;постоялец
miscalculation;недоразумение, просчет
waken;пробудиться
forage;фураж, корм, добывать пропитание
depose;свергнуть
molestation;домогательство
outlandish;чудной
thimble;наперсток
ditty;песенка
mariner;моряк
admirably;восхитительно
broach;начать обсуждение, поднять вопрос
repaint;перекрасить
recklessness;безрассудство
villainous;злодейский
batten;обшивка
astern;по корме
civility;вежливость
subside;утихать
volition;воля
frigate;фрегат
aback;назад, врасплох
coolness;хладнокровие
fatherless;без отца
prim;аккуратный
glade;поляна
mirth;веселье
stealthy;скрытный
lather;пена
tattered;обветшалый
ruffle;рябь, смущение, взъерошить
logbook;судовой журнал
trod;шагал
alteration;изменение
sneer;насмешка
ambiguity;двусмысленность
taut;натянутый, напряженный
furiously;яростно
stagnant;застойный
prodigious;чудовищный
bough;ветвь
schooner;шхуна
dolt;дурак
foolhardy;безрассудный
prophetic;пророческий
narrowly;едва
bade;велел
extravagance;расточительность, излишество, чрезмерность
westward;на запад
cleft;расщелина, расщепленный
thrifty;экономный
gamekeeper;егерь
patter;стук
glossy;глянцевый
ebb;отлив
disapproval;неодобрение
volley;залп
stupor;оцепенение
whither;куда
continual;непрерывный
recoil;отдача
quay;пристань
livery;ливрея, окраска (животных)
evergreen;вечнозеленый
hilltop;вершина холма
tiller;руль
incessant;неустанно
reiterate;повторять
uncouth;неуклюжий
sullen;угрюмый
belay;закрепить
numbness;онемение
airy;воздушный
annoyance;раздражение
shockingly;шокирующе
bilge;трюм, льяльные воды
nostril;ноздря
plucky;смелый
illustration;иллюстрация
swivel;вращающийся
sidle;подкрасться
gravestone;надгробная плита
leeway;запас прочности, свобода действий
comparative;сравнительный
clench;стиснуть
confidant;доверенное лицо
thwart;помешать
frayed;потертый
bustling;оживленный
disarray;беспорядок
breech;затылок, казенная часть (оружия)
haggard;изможденный
wriggle;извиваться
ricochet;рикошет
anecdote;анекдот
intermittent;прерывистый
unaffected;неподдельный
outset;начало
radiance;сияние
doze;дремать
wily;хитрый
odious;отвратительный
stifle;подавлять
waver;колебаться
snipe;бекас
cleanly;аккуратно
quartermaster;квартирмейстер
stockade;частокол
strewn;разбросанный
clump;клумба, группа деревьев
shrug;пожимать плечами
stagger;шататься
ungodly;богомерзкий
stately;величественный
musketeer;мушкетер
knoll;холмик
clawed;когтистый
clapped;хлопнул
indescribable;невыразимый
fatally;смертельно
eyelid;веко
afresh;заново
fen;болото
durst;осмеливался
ember;уголек
onslaught;нападение
workman;рабочий
christen;крестить
foliage;листва
slant;наклон
chieftain;вождь
lurk;таиться
shortness;краткость
overhaul;капитальный ремонт
aloft;наверху
swig;глоток
gleam;блеск
grope;нащупывать
bookcase;книжный шкаф
motionless;неподвижный
securely;надежно
baffling;непостижимый
livid;бледно-синий
composure;самообладание
silvery;серебристый
sheath;ножны
indignation;возмущение
unmistakable;неоспоримый
drunkenness;пьянство
trinket;безделушка
noggin;кружка
lodger;квартирант
spoonful;ложка
grumble;ворчать
twentieth;двадцатый
precipice;обрыв
hoard;запас
quiver;колчан
moonlit;лунный
unbroken;непрерывный
outnumber;превосходить численно
cheaply;дешево
gunnery;артиллерия
hoarse;хриплый
vividly;ярко
cocked;прицелился
loom;маячить
anchorage;якорная стоянка
laughable;смешной
clung;прилипший
confound;смешать
leisurely;неторопливо
jangle;звон
overturn;перевернуться
nutmeg;мускатный орех
dysentery;дизентерия
creeper;вьющееся растение
uninhabited;необитаемый
grog;грог
scour;тщательно искать
fable;басня
reappear;появиться снова
mercilessly;безжалостно
revolve;вращаться
politeness;вежливость
scuffle;потасовка
douse;тушить
humbug;обман
curiously;любопытно
wasteful;расточительный
bustle;суета
squint;щуриться, косоглазие, косой взгляд
ruffian;головорез
discontent;недовольство
enchantment;очарование
strait;пролив
exclaim;восклицать
headway;прогресс
carelessly;небрежно
desertion;дезертирство
notable;заметный
topple;опрокидываться
shrill;пронзительный
piety;благочестие
enclosure;ограждение
warmly;тепло
gully;овраг
daze;оцепенение
recapture;перехват
impatience;нетерпение
clack;треск
scamp;мошенник, плут, негодяй
simultaneous;одновременный
flowery;цветочный
marksman;стрелок
hastily;поспешно
apprehension;тревога
pointer;указка
husky;хриплый
flicker;мерцание
alight;осветить
stony;каменистый
fairer;более справедливый
feasible;выполнимый
header;заголовок
wrought;кованый
tinder;трут
brisk;энергичный
befall;случиться
doubly;вдвойне
ablaze;в огне
quart;кварта
resin;смола
comical;комический
jib;стаксель
inkling;намек
grievance;обида
ringleader;вожак
leapt;прыгнул
singsong;монотонный
tether;привязь
apparition;призрак
hilt;рукоять
swish;шелест
crouch;присесть
retrace;проследить заново
hearth;очаг
gymnast;гимнаст
relinquish;отказаться
grovel;ползти
sprang;вскочил
unearthed;раскопанный
configuration;конфигурация
darken;затемнять
idly;праздно
heartily;сердечно
blackness;чернота
unruly;неуправляемый
anxiously;тревожно
sorely;очень
illustrate;иллюстрировать
piracy;пиратство
seam;шов
ascent;подъем
inclination;склонность
finely;изысканно
helplessness;беспомощность
afoot;на ногах
fowl;птица, домашняя птица, курица
desist;прекратить
bulkhead;переборка
countenance;выражение лица
cruelly;жестоко
draught;сквозняк
taint;порча
enlarge;увеличивать
nautical;морской
displeased;недовольный
blot;пятно
connoisseur;знаток
dainty;изящный
hasten;спешить
girdle;пояс
cordial;сердечный
foghorn;туманный горн
diminish;уменьшать
longitude;долгота
farthest;самый дальний
usage;использование
pinnacle;вершина
forearm;предплечье
slew;убил
lament;оплакивать
shudder;дрожать
glimmer;мерцание
fro;туда-сюда
foolishly;глупо
maroon;заточить (на острове)
skim;скользить
prematurely;преждевременно
hinder;мешать
musket;мушкет
readiness;готовность
correspond;соответствовать
chink;щель
shipwreck;кораблекрушение
dismount;спешиться
multitude;множество
divinity;божественность
repetition;повторение
bitterly;горько
fawn;олень, льстить
exceedingly;чрезвычайно
inexplicable;необъяснимый
standstill;застой
oar;весло
keyhole;замочная скважина
bombardment;бомбардировка
imaginable;представимый
gravely;серьезно
boasting;хвастовство
lain;лежал
dissatisfied;недовольный
hearted;сердечный
provision;снабжение
dreadfully;ужасно
wickedness;злоба
antelope;антилопа
instinctively;инстинктивно
ascertain;установить
perilous;опасный
atop;наверху
upstream;вверх по течению
talon;коготь
framework;каркас
feverish;лихорадочный
atrocious;ужасающий
armchair;кресло
grate;решетка
stow;укладывать
unchanged;неизменный
callous;бесчувственный
flung;бросил
excavation;раскопки
abominable;отвратительный
brightness;яркость
crept;полз
whence;откуда
loophole;лазейка
matey;товарищеский
tiff;ссора, небольшая размолвка
trample;топтать
unaccounted;неучтенный
tipsy;пьяный
grievous;тяжелый
crutch;костыль
lofty;высокий
ticklish;щекотливый
nutritious;питательный
varied;разнообразный
blunder;промах
sulk;дуться
refreshment;освежение
agile;ловкий
amiss;неправильно
spout;струя
berth;спальное место
variable;переменчивый
gallop;галоп
prolong;продлить
hammock;гамак
sentinel;сентинел
cache;тайник
fiercely;яростно
crucifix;крест
watcher;наблюдатель
raisin;изюм
hazy;туманный
hanger;вешалка
adrift;по течению
croak;каркать
ripple;рябь
overhear;подслушать
readily;охотно
tract;тракт
smother;задушить
perch;насест
walrus;морж
willingness;готовность
unintelligible;непонятный
interval;интервал
hillside;склон холма
demolish;разрушить
incomprehensible;непостижимый
bran;отруби
buoy;буй
armpit;подмышка
cavalier;кавалер
bale;тюк
swagger;кичиться
thoughtless;бездумный
ascend;подниматься
nigh;близко
emissary;эмиссар
keel;киль
nationality;национальность
wring;выжимать
arose;возник
smitten;пораженный, влюбленный, очарованный
occurrence;происшествие
hither;сюда
prompt;незамедлительный
candlelight;свет свечи
smelt;плавить
remainder;остаток
pang;приступ
pedestal;пьедестал
bestow;даровать
stout;крепкий
crumb;крошка
sentry;часовой
stutter;заикаться
scorn;презрение
vary;варьировать
fainting;обморок
brood;выводок
moonshine;самогон
plunder;грабить
plump;пухлый
shone;светил
hornet;шершень
smoky;дымчатый
recharge;перезарядить
viceroy;вице-король
nightcap;ночной колпак
duff;мука, пудинг
fathom;сяжина
flutter;трепет
plough;плуг
faintly;слабо
evenly;равномерно
shroud;покрывало
angrily;сердито
galley;камбуз
hover;парить
bead;бусина
knuckle;костяшка пальца
arouse;возбуждать
rejoin;возражать
unprotected;незащищенный
sprout;росток
glare;сверкание
preservation;сохранение
infernal;адский
unexplained;необъяснимый
conceited;тщеславный
imposter;самозванец
sweetly;сладко
footing;основание
conspicuous;заметный
outward;наружный
stronghold;крепость
awoke;проснулся
whirl;вихрь
hark;внимание
brighten;осветить
fir;ель
startle;испугать, вздрогнуть
slop;разлиться
consort;супруг, компания
topped;возглавляемый
embark;отправиться
pew;церковная скамья
trough;корыто
traveller;путешественник
recollection;воспоминание
sup;ужинать
sledge;сани, кувалда
latitude;широта
sever;разрезать
insolence;наглость
hoof;копыто
campfire;костер
outright;откровенно
unwilling;нежелающий
eyebrow;бровь
profoundly;глубоко
diabolical;дьявольский
unkind;недобрый
undertaking;предприятие
adversary;противник
daybreak;рассвет
wad;комок
immensely;огромно
propulsion;привод
concession;уступка
reload;перезарядить
sprinkle;посыпать
darby;кандалы, штукатурный инструмент
meditate;медитировать
muzzle;морда
underwood;подлесок
desolate;пустынный
duly;должным образом
glide;скользить
neatly;аккуратно
spur;шпора
plainly;ясно
jiffy;мгновение
yarn;пряжа, байка (история)
upward;вверх
twitch;подергивание
mast;мачта
afloat;на плаву
cannibal;каннибал
huddle;толпиться
continually;непрерывно
haze;дымка
lurch;крен
shiver;дрожь
sewn;сшитый
faraway;далекий
plucked;сорванный
dreary;унылый
painfully;болезненно
enjoyment;наслаждение
flattery;лесть
bland;мягкий
mistook;ошибся
emphasis;акцент
hoist;поднимать, подъемник
mouthful;глоток
swoop;налет
patiently;терпеливо
weaken;ослаблять
ballad;баллада
aroma;аромат
rebellious;мятежный
vegetation;растительность
promptly;незамедлительно
compact;компактный
earnest;серьезный
talker;оратор
